fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Item Sale Benefitting THON,Item Sale,Jill Getty and Ellie Sams (2024),3075,8/1/2023,8/8/2023,,Denied,100,,Independent Couple,,
August Step Competiton Benefitting THON,Sporting Event,Mia Paschuck and Sophia Reinke (2024),3100,8/1/2023,8/14/2023,,Approved,120,,Independent Couple,,
Diane and Anna's 5k Bake Sale Benefitting THON,Bake Sale,Anna Boyer and Diane Friedman (2024),3086,8/7/2023,8/7/2023,The Sidney And Pauline Friedman Jewish Community Center: 613 SJ STRAUSS LN  KINGSTON PA 18704,Canceled,200,,Independent Couple,,
Volé x Alpha Sigma Phi Popsicle Sale Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Alpha Sigma Phi & Volé,126 & 34,10/22/2023,10/22/2023,THON 5K:,Canceled,100,,General,,
Fayette 100 Days 'Til THON Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Fayette,44,10/23/2023,10/23/2023,Penn State University Park:     ,Denied,200,,Commonwealth,,
Diane and Anna's 5k Ribbon Sale Benefitting THON,Item Sale,Anna Boyer and Diane Friedman (2024),3086,8/7/2023,8/7/2023,The Sidney and Pauline Friedman Jewish Community Center: 613 SJ STRAUSS LN  KINGSTON PA 18704,Approved,200,92,Independent Couple,,
YETI Auction Benefitting THON,Item Auction,Maggie Fechtman and Maddie Shine (2024),3071,8/8/2023,8/20/2023,,Approved,200,,Independent Couple,,
South Moon Benefitting THON,Item Sale,Maeve Riley and Sophie Sclafani (2024),3138,8/8/2023,8/17/2023,,Approved,250,,Independent Couple,,
Abbey and Ana IDC Ribbon Sale Benefitting THON,Restaurant Fundraiser,Abbey Picozzi and Ana Sophy (2024),3113,8/11/2023,8/11/2023,Nat's Pizza: 138 W STATE ST  DOYLESTOWN PA 18901,Approved,200,,Independent Couple,,
Cornhole Tournament Benefitting THON,Sporting Event,Abbey Picozzi and Ana Sophy (2024),3113,8/13/2023,8/13/2023,Picozzi House: 116 KATHERINE WAY  HATFIELD PA 19440,Approved,300,,Independent Couple,,
Penn State Scranton Ultimate Tailgate Raffle Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Scranton,171,10/30/2023,11/8/2023,Penn State Scranton:     ,Approved,350,335,Commonwealth,,
Sigma Sigma Sigma x Zeta Beta Tau 100 Days Alt Funds Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Sigma Sigma Sigma Tri Sigma & Zeta Beta Tau ZBT,33 & 1476,10/31/2023,10/31/2023,The Hub:     ,Denied,250,,Greek,,
Lollipop Sale Benefitting THON,Item Sale,Emily McGourty and Andrea DeLeon-Rivera (2024),3106,8/14/2023,8/20/2023,Allison’s Clothing Co.: 522 PENN AVE  WEST READING PA 19611,Denied,100,,Independent Couple,,
Maggie and Maddie Dance Class Benefitting THON,Event/Concert,Maggie Fechtman and Maddie Shine (2024),3071,8/16/2023,8/16/2023,On Edge Movement Dance Studio: 1019 EGYPT RD STE 1  PHOENIXVILLE PA 19460,Approved,120,,Independent Couple,,
Penn State Lehigh Valley 100 Days Til THON Ribbon Sale Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Lehigh Valley,113,11/6/2023,11/10/2023,Penn State Lehigh Valley:     ,Canceled,100,,Commonwealth,,
Penn State Lehigh Valley 100 Days Til THON Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Lehigh Valley,113,11/6/2023,11/10/2023,Penn State Lehigh Valley:     ,Approved,100,210.11,Commonwealth,,
