IDC,Tickets
1,109
2,58
3,55
4,52
5,52
6,50
7,45
8,45
9,41
10,39
11,39
12,38
13,35
14,31
15,30
16,28
17,23
18,23
19,21
20,21
21,21
22,21
23,20
24,20
25,20
26,20
27,20
28,20
29,19
30,19
31,19
32,19
33,19
34,19
35,19
36,18
37,17
38,17
39,17
40,17
41,15
42,15
43,14
44,14
45,14
46,14
47,14
48,13
49,13
50,12
51,12
52,12
53,12
54,11
55,11
56,11
57,11
58,11
59,11
60,11
61,11
62,11
63,10
64,10
65,10
66,10
67,9
68,9
69,9
70,9
71,9
72,9
73,9
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,9
